Issue Type,Summary,Description,Priority,Story Points,Sprint,Custom Field (RF/RN)
Story,[HU-09] Cambiar el estado del proceso,"*Historia de Usuario:*
Como Abogado responsable o Administrador, quiero modificar el estado de un proceso jurídico (activo, suspendido, archivado, finalizado), para reflejar con exactitud la situación actual del caso y controlar el ciclo de vida del expediente.

*Criterios de Aceptación:*
* Los estados disponibles son: Activo, Suspendido, Archivado y Finalizado.
* Un proceso no puede cambiar a 'Archivado' si tiene términos vencidos sin gestionar o audiencias programadas en los próximos 30 días; el sistema muestra los pendientes específicos.
* El Administrador puede forzar el archivado con confirmación explícita, lo cual queda registrado en auditoría.
* Un proceso en estado Finalizado o Archivado no puede regresar a Activo sin autorización del Administrador y justificación escrita registrada en historial y bitácora.
* Cada cambio de estado queda reflejado en el historial del proceso con usuario, fecha/hora y descripción.

*Requerimientos Asociados:*
RF13 | RF14 | RN03 | RN05",Alta,5,Sprint 2: Documentación y actuaciones procesales,RF13 | RF14 | RN03 | RN05
Story,[HU-10] Consultar historial de cambios del proceso,"*Historia de Usuario:*
Como Abogado o Administrador, quiero visualizar el historial completo de cambios realizados sobre un expediente, para auditar internamente las modificaciones y tener trazabilidad del avance del caso.

*Criterios de Aceptación:*
* El historial muestra todos los cambios registrados: modificaciones de datos, cambios de estado, reasignaciones de abogados y novedades.
* Cada entrada del historial indica: usuario responsable, fecha y hora del cambio y descripción de la acción.
* El historial está ordenado cronológicamente de más reciente a más antiguo.
* El historial es de solo lectura; ningún usuario puede editarlo.

*Requerimientos Asociados:*
RF14 | RNF03",Media,3,Sprint 2: Documentación y actuaciones procesales,RF14 | RNF03
Story,[HU-11] Registrar partes procesales de un expediente,"*Historia de Usuario:*
Como Abogado o Administrador, quiero registrar las partes involucradas en un proceso (demandante, demandado, víctima, tercero, cliente u otras), para tener identificados todos los actores del caso y su rol dentro del proceso.

*Criterios de Aceptación:*
* El sistema permite registrar partes con los roles: demandante, demandado, víctima, tercero, cliente y otros.
* Se puede crear un proceso sin registrar todas las partes desde el inicio.
* Si un proceso activo no tiene al menos un demandante y un demandado registrados, el sistema lo marca como incompleto.
* El proceso incompleto muestra un aviso visible en el dashboard y en la ficha del expediente.
* Se pueden agregar, editar o eliminar partes mientras el proceso está activo.

*Requerimientos Asociados:*
RF15 | RF16 | RF17",Alta,5,Sprint 2: Documentación y actuaciones procesales,RF15 | RF16 | RF17
Story,[HU-12] Cargar documentos al expediente,"*Historia de Usuario:*
Como Abogado o Colaborador, quiero subir documentos digitales al expediente de un proceso, para centralizar toda la documentación del caso y eliminar el uso de carpetas físicas.

*Criterios de Aceptación:*
* Los formatos aceptados son: PDF, DOCX, XLSX, JPG y PNG.
* El tamaño máximo por archivo es 10 MB.
* El sistema muestra un error descriptivo si el archivo supera el límite o el formato no es válido.
* Al cargar, el sistema registra automáticamente la fecha y hora de carga.
* El documento queda asociado al expediente seleccionado.
* El sistema conserva un historial de creación, modificación y carga de cada documento.

*Requerimientos Asociados:*
RF18 | RF20 | RF24",Alta,5,Sprint 2: Documentación y actuaciones procesales,RF18 | RF20 | RF24
Story,[HU-13] Clasificar y organizar documentos por categoría,"*Historia de Usuario:*
Como Abogado o Colaborador, quiero clasificar cada documento en una categoría al momento de subirlo o editarlo, para mantener el expediente organizado y poder localizar documentos rápidamente.

*Criterios de Aceptación:*
* Las categorías disponibles son: Demandas, Pruebas, Contratos, Escritos, Notificaciones, Providencias y Otros.
* El abogado puede cambiar la categoría de un documento después de cargarlo.
* La vista del expediente permite filtrar documentos por categoría.
* Los documentos se listan cronológicamente por fecha y hora de carga dentro de cada categoría.
* El sistema permite asociar documentos generales no vinculados a un proceso específico.

*Requerimientos Asociados:*
RF19 | RF20 | RF21",Alta,3,Sprint 2: Documentación y actuaciones procesales,RF19 | RF20 | RF21
Story,[HU-14] Controlar la visibilidad de documentos,"*Historia de Usuario:*
Como Abogado o Administrador, quiero definir la visibilidad de cada documento entre tres niveles: privado, compartido con cliente o visible para colaboradores, para proteger información confidencial y controlar qué puede ver cada actor del proceso.

*Criterios de Aceptación:*
* Al cargar o editar un documento, el abogado elige la visibilidad: Privado, Compartido con cliente, o Visible para colaboradores.
* Los documentos marcados como Privados solo los ve el abogado responsable y el Administrador.
* Los documentos 'Compartidos con cliente' aparecen en el portal del cliente para descarga.
* Los documentos 'Visibles para colaboradores' son accesibles para los colaboradores asignados al proceso.
* El cliente nunca puede ver notas internas, estrategias jurídicas ni documentos privados.

*Requerimientos Asociados:*
RF22 | RF43 | RF44 | RF46",Alta,5,Sprint 2: Documentación y actuaciones procesales,RF22 | RF43 | RF44 | RF46
Story,[HU-31] Buscar y filtrar procesos/expedientes,"*Historia de Usuario:*
Como Abogado o Administrador, quiero buscar y filtrar expedientes jurídicos en el sistema por radicado, nombre de cliente, juzgado, abogado responsable, estado procesal y tipo de proceso, para localizar rápidamente la información de un caso específico.

*Criterios de Aceptación:*
* La búsqueda permite filtrar por: número de radicado, nombre del cliente, juzgado, abogado responsable, estado procesal y tipo de proceso.
* El sistema muestra los resultados en menos de 2 segundos bajo carga normal.
* La búsqueda se activa automáticamente al ingresar al menos 3 caracteres (búsqueda parcial).
* Es posible combinar múltiples filtros de búsqueda de forma simultánea.
* Los resultados de búsqueda se muestran paginados en grupos de 20 registros.
* La búsqueda está disponible únicamente para Administradores, Abogados y Colaboradores en sus respectivos niveles de visibilidad.

*Requerimientos Asociados:*
RNF05 | RNF08",Alta,5,Sprint 2: Documentación y actuaciones procesales,RNF05 | RNF08
Story,[HU-34] Eliminar de forma definitiva expedientes (Admin),"*Historia de Usuario:*
Como Administrador, quiero eliminar de forma definitiva un expediente de proceso del sistema, para depurar información errónea bajo condiciones estrictas de seguridad.

*Criterios de Aceptación:*
* La eliminación definitiva está restringida exclusivamente al usuario con rol Administrador.
* El sistema requiere una confirmación en dos pasos antes de ejecutar la eliminación definitiva.
* No se permite eliminar procesos que tengan documentos activos o términos judiciales pendientes sin gestionar.
* La eliminación del expediente se registra en la bitácora de auditoría de forma inmutable, indicando el radicado, el Administrador que ejecutó la acción, la justificación, fecha/hora e IP.

*Requerimientos Asociados:*
RNF06 | RNF10 | RF05",Alta,3,Sprint 2: Documentación y actuaciones procesales,RNF06 | RNF10 | RF05
Story,[HU-15] Versionar documentos y consultar versiones anteriores,"*Historia de Usuario:*
Como Abogado o Administrador, quiero subir nuevas versiones de un documento y consultar o descargar cualquier versión anterior, para mantener el historial completo del documento sin perder versiones previas relevantes para el proceso.

*Criterios de Aceptación:*
* Al subir un archivo sobre un documento existente, el sistema lo guarda como nueva versión sin eliminar las anteriores.
* La versión activa siempre es la más reciente.
* El abogado puede visualizar la lista de versiones anteriores con fecha, hora y usuario que la cargó.
* El abogado puede descargar cualquier versión anterior.
* Un documento marcado como Reemplazado o Inactivo no puede ser reactivado; si se necesita su contenido, debe cargarse como nueva versión.

*Requerimientos Asociados:*
RF23 | RN06",Alta,5,Sprint 3: Calendario de audiencias y control de términos,RF23 | RN06
Story,[HU-16] Restringir y gestionar eliminación de documentos,"*Historia de Usuario:*
Como Abogado o Administrador, quiero marcar documentos erróneos como reemplazados o inactivos, y restringir la eliminación definitiva de documentos críticos, para garantizar la integridad del expediente y cumplir con los estándares de trazabilidad documental.

*Criterios de Aceptación:*
* El sistema no permite eliminar definitivamente documentos que hayan sido utilizados en actuaciones procesales.
* El abogado puede marcar un documento como 'Reemplazado' o 'Inactivo' sin perder trazabilidad.
* Un documento inactivo o reemplazado no puede ser reactivado.
* La eliminación definitiva de un documento solo la puede realizar el Administrador tras confirmar la acción en dos pasos.
* Toda eliminación definitiva queda registrada en la bitácora de auditoría.

*Requerimientos Asociados:*
RF25 | RF26 | RN06 | RNF06",Alta,5,Sprint 3: Calendario de audiencias y control de términos,RF25 | RF26 | RN06 | RNF06
Story,[HU-17] Registrar audiencia o diligencia,"*Historia de Usuario:*
Como Abogado o Administrador, quiero registrar una audiencia o diligencia asociada a un proceso con fecha, hora y lugar, para centralizar el calendario de compromisos judiciales y evitar olvidos que generen sanciones disciplinarias.

*Criterios de Aceptación:*
* El formulario solicita: nombre/tipo de audiencia, fecha, hora, lugar y proceso asociado.
* La audiencia queda vinculada al expediente del proceso.
* Al registrar la audiencia, el sistema la muestra en el calendario general y en la ficha del proceso.
* El sistema permite registrar múltiples audiencias para un mismo proceso.
* El registro de la audiencia queda en bitácora.

*Requerimientos Asociados:*
RF27",Alta,3,Sprint 3: Calendario de audiencias y control de términos,RF27
Story,[HU-18] Configurar recordatorios de audiencia,"*Historia de Usuario:*
Como Abogado o Administrador, quiero configurar hasta 3 recordatorios con intervalos personalizados para cada audiencia, para recibir avisos con suficiente anticipación y garantizar que no se pierda ninguna diligencia.

*Criterios de Aceptación:*
* Al crear o editar una audiencia, el sistema permite configurar hasta 3 recordatorios.
* El intervalo de cada recordatorio es configurable por el usuario (ejemplo: 7 días, 3 días, 1 día antes).
* El sistema sugiere valores predeterminados al crear la audiencia: 48 horas antes, 24 horas antes y el mismo día de la audiencia.
* El abogado puede elegir el canal de notificación: solo plataforma, solo correo electrónico o ambos.
* Las notificaciones se envían al abogado responsable y a los colaboradores asignados al proceso.

*Requerimientos Asociados:*
RF28 | RF29 | RF47",Alta,5,Sprint 3: Calendario de audiencias y control de términos,RF28 | RF29 | RF47
Story,[HU-19] Reprogramar audiencia con historial de cambios,"*Historia de Usuario:*
Como Abogado o Administrador, quiero reprogramar una audiencia a una nueva fecha u hora manteniendo un historial de los cambios, para reflejar modificaciones judiciales sin perder el registro de las fechas anteriores.

*Criterios de Aceptación:*
* El abogado puede modificar fecha, hora y lugar de una audiencia existente.
* El sistema mantiene el historial de todas las versiones anteriores de la audiencia (fechas y horas originales).
* Al reprogramar, los recordatorios se recalculan automáticamente con base en la nueva fecha.
* Se notifica al abogado responsable y colaboradores sobre la reprogramación.
* El cambio queda registrado en el historial del proceso y en bitácora.

*Requerimientos Asociados:*
RF30 | RF05",Alta,3,Sprint 3: Calendario de audiencias y control de términos,RF30 | RF05
Story,[HU-20] Archivar audiencias realizadas al historial,"*Historia de Usuario:*
Como sistema (proceso automatizado), quiero mover automáticamente las audiencias cuya fecha ya pasó al historial del proceso, para mantener el panel de audiencias pendientes limpio y organizado, sin mezclar compromisos pasados con futuros.

*Criterios de Aceptación:*
* El sistema detecta audiencias con fecha y hora ya vencida y las mueve automáticamente al historial.
* Las audiencias archivadas siguen siendo consultables desde la ficha del proceso.
* El movimiento al historial queda registrado con fecha y hora de la operación.
* El abogado puede marcar manualmente una audiencia como realizada antes de que el sistema lo haga.

*Requerimientos Asociados:*
RF31",Media,3,Sprint 3: Calendario de audiencias y control de términos,RF31
Story,[HU-21] Registrar término judicial con fecha de vencimiento,"*Historia de Usuario:*
Como Abogado o Administrador, quiero registrar manualmente un término judicial con su fecha y hora de vencimiento, para hacer seguimiento a plazos legales críticos y evitar su vencimiento por falta de atención.

*Criterios de Aceptación:*
* El formulario solicita: nombre del término, fecha de vencimiento, proceso asociado e indicador de criticidad.
* El término queda asociado al expediente del proceso.
* El sistema mantiene visibles los términos vencidos hasta que el abogado los gestione manualmente.
* Los términos marcados como críticos envían una alerta adicional al Administrador.
* El registro queda en bitácora.

*Requerimientos Asociados:*
RF32 | RF34 | RF37",Alta,3,Sprint 3: Calendario de audiencias y control de términos,RF32 | RF34 | RF37
Story,[HU-22] Configurar recordatorios de término judicial,"*Historia de Usuario:*
Como Abogado o Administrador, quiero configurar hasta 3 recordatorios con fechas y horas específicas para cada término judicial, para recibir avisos oportunos antes del vencimiento y actuar dentro del plazo.

*Criterios de Aceptación:*
* El sistema permite configurar hasta 3 recordatorios por término, con fecha y hora configurables.
* Los valores predeterminados sugeridos son: 5 días, 1 día y el día del vencimiento.
* El sistema notifica al abogado asignado y a los colaboradores del proceso.
* El abogado elige entre notificación en plataforma, correo o ambos.
* Los términos críticos envían adicionalmente una alerta al Administrador.
* El sistema mantiene historial completo de todas las alertas enviadas por cada término.

*Requerimientos Asociados:*
RF33 | RF36 | RF37",Alta,5,Sprint 3: Calendario de audiencias y control de términos,RF33 | RF36 | RF37
Story,[HU-23] Gestionar el estado de un término judicial,"*Historia de Usuario:*
Como Abogado asignado o Administrador, quiero marcar un término judicial como cumplido, cumplido tardíamente o incumplido, para documentar oficialmente el resultado de cada plazo judicial y mantener el expediente actualizado.

*Criterios de Aceptación:*
* Los estados disponibles para un término son: Cumplido, Cumplido tardíamente e Incumplido.
* Si la gestión se registra después de la fecha de vencimiento, el sistema clasifica automáticamente el término como 'Cumplido tardíamente', sin permitir al usuario sobrescribir esa clasificación.
* Solo el Administrador puede corregir una clasificación tardía, con justificación escrita registrada en bitácora.
* El sistema registra quién gestionó el término y la fecha/hora exacta.
* Una alerta crítica de término solo puede ser cerrada por el usuario destinatario o por el Administrador (únicamente si el usuario destinatario está inactivo en el sistema), de forma manual y explícita.

*Requerimientos Asociados:*
RF35 | RF37 | RN07 | RN08 | RN02",Alta,5,Sprint 3: Calendario de audiencias y control de términos,RF35 | RF37 | RN07 | RN08 | RN02
Story,[HU-24] Ver panel principal personalizado según rol,"*Historia de Usuario:*
Como usuario autenticado, quiero acceder a un panel principal que muestre la información más relevante según mi rol, para tener visión inmediata del estado de mis responsabilidades sin revisar módulos individuales.

*Criterios de Aceptación:*
* El Administrador ve: todos los procesos, estadísticas globales, usuarios activos y alertas del sistema.
* El Abogado ve: sus procesos asignados, términos próximos a vencer, audiencias próximas y tareas pendientes.
* El Colaborador ve: tareas asignadas y los procesos en que participa.
* El Cliente solo accede a su portal personal.
* El panel prioriza visualmente: términos por vencer, términos vencidos, audiencias próximas, tareas pendientes y novedades judiciales.
* Los elementos en riesgo (términos vencidos, audiencias sin confirmar <24h, procesos sin movimiento) se marcan en rojo.
* El color rojo solo se usa para condiciones de riesgo procesal o disciplinario, nunca para elementos decorativos o recordatorios de baja prioridad.

*Requerimientos Asociados:*
RF38 | RF39 | RF40 | RN09",Alta,8,Sprint 4: Portal del cliente y reportes,RF38 | RF39 | RF40 | RN09
Story,[HU-25] Gestionar notificaciones del panel,"*Historia de Usuario:*
Como Abogado o Administrador, quiero ver, leer y gestionar las notificaciones desde el panel principal, para mantener el panel ordenado y asegurarme de haber atendido cada alerta relevante.

*Criterios de Aceptación:*
* Las notificaciones leídas y tareas completadas se ocultan del panel pasadas 48 horas desde su gestión.
* El Administrador puede ajustar el tiempo de ocultación en la configuración general del sistema.
* Las alertas de prioridad alta (rojo) no se pueden desactivar y permanecen visibles hasta que el usuario las gestione manualmente.
* Las alertas de prioridad media se resaltan en naranja; las de baja prioridad, en gris.
* Si el mismo evento genera más de 5 alertas en 10 minutos, el sistema las agrupa en un resumen.
* El historial de notificaciones enviadas es consultable por el usuario.

*Requerimientos Asociados:*
RF41 | RF47 | RF48 | RF49 | RF50",Alta,5,Sprint 4: Portal del cliente y reportes,RF41 | RF47 | RF48 | RF49 | RF50
Story,[HU-26] Consultar estadísticas y reportes generales,"*Historia de Usuario:*
Como Administrador o Abogado, quiero consultar estadísticas de procesos (activos, finalizados, archivados, carga por abogado) con filtros por fecha, para tomar decisiones informadas sobre la distribución de trabajo y el rendimiento del consultorio.

*Criterios de Aceptación:*
* Las estadísticas muestran: procesos activos, finalizados, archivados y carga procesal por abogado.
* Las estadísticas son visibles únicamente para Administrador y Abogados.
* El usuario puede filtrar las estadísticas por rango de fechas: mes, trimestre, año o rango personalizado.
* Los datos se actualizan en tiempo real al aplicar filtros.
* El Administrador puede exportar el reporte en formato PDF o CSV.

*Requerimientos Asociados:*
RF42",Media,5,Sprint 4: Portal del cliente y reportes,RF42
Story,[HU-27] Acceder al portal del cliente,"*Historia de Usuario:*
Como Cliente, quiero acceder a un portal personalizado donde pueda ver el estado de mis procesos y próximas audiencias, para estar informado sobre el avance de mi caso sin necesidad de llamar al abogado constantemente.

*Criterios de Aceptación:*
* El portal del cliente muestra: lista de sus procesos con estado actual, próximas audiencias autorizadas y últimas novedades registradas por el abogado.
* El cliente no puede ver notas internas, estrategias jurídicas ni información de otros clientes.
* El portal es accesible desde el navegador sin instalación de software adicional.
* El acceso requiere autenticación con las credenciales del cliente.
* La sesión del cliente expira tras 30 minutos de inactividad.

*Requerimientos Asociados:*
RF43 | RF46 | RN02 | RNF02 | RNF04",Alta,5,Sprint 4: Portal del cliente y reportes,RF43 | RF46 | RN02 | RNF02 | RNF04
Story,[HU-28] Descargar documentos autorizados desde el portal,"*Historia de Usuario:*
Como Cliente, quiero descargar desde mi portal los documentos que el abogado me ha habilitado, para obtener copias de mis documentos legales de forma autónoma y segura sin depender de visitas presenciales.

*Criterios de Aceptación:*
* El portal muestra únicamente los documentos marcados por el abogado como 'Compartido con cliente'.
* El cliente puede descargar cualquier documento visible en su portal.
* La descarga queda registrada en la bitácora de auditoría (usuario, fecha/hora, IP, documento).
* El cliente no puede subir, modificar ni eliminar documentos.
* Si un documento ha sido marcado como inactivo o reemplazado por el abogado, deja de aparecer en el portal del cliente.

*Requerimientos Asociados:*
RF44 | RF45 | RF46 | RF05",Alta,3,Sprint 4: Portal del cliente y reportes,RF44 | RF45 | RF46 | RF05
Story,[HU-29] Configurar canal y preferencias de notificación,"*Historia de Usuario:*
Como Abogado o Colaborador, quiero elegir si quiero recibir notificaciones dentro de la plataforma, por correo electrónico o por ambos canales, para adaptar el sistema de alertas a mi forma de trabajo y no perder avisos importantes.

*Criterios de Aceptación:*
* El usuario puede activar o desactivar el canal: notificación en plataforma, correo electrónico o ambos.
* La configuración se guarda por usuario y puede modificarse en cualquier momento.
* El usuario puede ajustar la prioridad predeterminada por tipo de evento (audiencia, término, tarea).
* Las alertas de prioridad alta no pueden desactivarse independientemente del canal seleccionado.
* El cambio de preferencias queda registrado en bitácora.

*Requerimientos Asociados:*
RF47 | RF48",Media,4,Sprint 4: Portal del cliente y reportes,RF47 | RF48
Story,[HU-30] Visualizar y gestionar alertas críticas,"*Historia de Usuario:*
Como Abogado responsable o Administrador, quiero visualizar y cerrar manualmente las alertas de prioridad alta que me corresponden, para asegurar que ninguna alerta crítica desaparezca del panel sin haber sido atendida conscientemente.

*Criterios de Aceptación:*
* Las alertas críticas (prioridad alta) se resaltan en rojo y permanecen visibles en el panel hasta ser gestionadas manualmente.
* Una alerta crítica solo puede cerrarse por el usuario destinatario de la alerta o por el Administrador (únicamente si el usuario destinatario está inactivo en el sistema), de forma manual y explícita.
* Ningún proceso automatizado del sistema puede cerrar una alerta de prioridad alta.
* El Administrador puede gestionar alertas críticas de un abogado inactivo.
* Al cerrar una alerta, el sistema registra quién la gestionó, cuándo y desde qué IP.
* El usuario puede consultar el historial completo de notificaciones enviadas y gestionadas.

*Requerimientos Asociados:*
RF48 | RF49 | RF50 | RN08 | RN02",Alta,5,Sprint 4: Portal del cliente y reportes,RF48 | RF49 | RF50 | RN08 | RN02
